iter	Passed	Remaining
421	1212	1661
422	1213	1655
423	1214	1649
424	1215	1644
425	1216	1638
426	1217	1633
427	1217	1627
428	1218	1622
429	1219	1616
430	1220	1611
431	1221	1605
432	1221	1600
433	1222	1594
434	1223	1589
435	1224	1583
436	1225	1578
437	1226	1573
438	1226	1567
439	1227	1562
440	1228	1557
441	1229	1552
442	1230	1546
443	1231	1541
444	1231	1536
445	1232	1531
446	1233	1526
447	1234	1521
448	1235	1515
449	1236	1510
450	1236	1505
451	1237	1500
452	1238	1495
453	1239	1490
454	1240	1485
455	1241	1480
456	1242	1475
457	1242	1470
458	1243	1465
459	1244	1461
460	1245	1456
461	1246	1451
462	1247	1446
463	1247	1441
464	1248	1436
465	1249	1431
466	1250	1427
467	1251	1422
468	1252	1417
469	1252	1412
470	1253	1408
471	1254	1403
472	1255	1398
473	1256	1393
474	1256	1389
475	1257	1384
476	1258	1379
477	1259	1375
478	1260	1370
479	1260	1366
480	1261	1361
481	1262	1356
482	1263	1352
483	1264	1347
484	1265	1343
485	1266	1339
486	1266	1334
487	1267	1330
488	1268	1325
489	1269	1321
490	1270	1316
491	1271	1312
492	1272	1308
493	1272	1303
494	1273	1299
495	1274	1295
496	1275	1290
497	1276	1286
498	1277	1282
499	1277	1277
500	1278	1273
501	1279	1269
502	1280	1265
503	1281	1260
504	1281	1256
505	1282	1252
506	1283	1248
507	1284	1244
508	1285	1239
509	1286	1235
510	1286	1231
511	1287	1227
512	1288	1223
513	1289	1219
514	1290	1215
515	1291	1211
516	1292	1207
517	1292	1203
518	1293	1199
519	1294	1195
520	1295	1191
521	1296	1187
522	1297	1183
523	1298	1179
524	1299	1175
525	1299	1171
526	1300	1167
527	1301	1163
528	1302	1159
529	1303	1155
530	1304	1152
531	1305	1148
532	1306	1144
533	1307	1140
534	1308	1137
535	1309	1133
536	1310	1129
537	1310	1125
538	1311	1121
539	1312	1118
540	1313	1114
541	1314	1110
542	1315	1106
543	1316	1103
544	1316	1099
545	1317	1095
546	1318	1092
547	1319	1088
548	1320	1084
549	1321	1080
550	1322	1077
551	1322	1073
552	1323	1070
553	1324	1066
554	1325	1062
555	1326	1059
556	1327	1055
557	1327	1051
558	1328	1048
559	1329	1044
560	1330	1041
561	1331	1037
562	1332	1033
563	1332	1030
564	1333	1026
565	1334	1023
566	1335	1019
567	1336	1016
568	1337	1012
569	1338	1009
570	1338	1005
571	1339	1002
572	1340	999
573	1341	995
574	1342	992
575	1343	988
576	1344	985
577	1344	981
578	1345	978
579	1346	975
580	1347	971
581	1348	968
582	1349	965
583	1350	961
584	1350	958
585	1351	954
586	1352	951
587	1353	948
588	1354	945
589	1355	941
590	1356	938
591	1356	935
592	1357	931
593	1358	928
594	1359	925
595	1360	922
596	1361	918
597	1362	915
598	1362	912
599	1363	909
600	1364	905
601	1365	902
602	1366	899
603	1366	896
